country,date,type,hetero_mean
France,2020-03-27,Primary Schools (generally for children ages 10 and below),0
France,2020-03-28,Primary Schools (generally for children ages 10 and below),0
France,2020-03-29,Primary Schools (generally for children ages 10 and below),0
France,2020-03-30,Primary Schools (generally for children ages 10 and below),0
France,2020-03-31,Primary Schools (generally for children ages 10 and below),0
France,2020-04-01,Primary Schools (generally for children ages 10 and below),0
France,2020-04-02,Primary Schools (generally for children ages 10 and below),0
France,2020-04-03,Primary Schools (generally for children ages 10 and below),0
France,2020-04-04,Primary Schools (generally for children ages 10 and below),0
France,2020-04-05,Primary Schools (generally for children ages 10 and below),0
France,2020-04-06,Primary Schools (generally for children ages 10 and below),0
France,2020-04-07,Primary Schools (generally for children ages 10 and below),0
France,2020-04-08,Primary Schools (generally for children ages 10 and below),0
France,2020-04-09,Primary Schools (generally for children ages 10 and below),0
France,2020-04-10,Primary Schools (generally for children ages 10 and below),0
France,2020-04-11,Primary Schools (generally for children ages 10 and below),0
France,2020-04-12,Primary Schools (generally for children ages 10 and below),0
France,2020-04-13,Primary Schools (generally for children ages 10 and below),0
France,2020-04-14,Primary Schools (generally for children ages 10 and below),0
France,2020-04-15,Primary Schools (generally for children ages 10 and below),0
France,2020-04-16,Primary Schools (generally for children ages 10 and below),0
France,2020-04-17,Primary Schools (generally for children ages 10 and below),0
France,2020-04-18,Primary Schools (generally for children ages 10 and below),0
France,2020-04-19,Primary Schools (generally for children ages 10 and below),0
France,2020-04-20,Primary Schools (generally for children ages 10 and below),0
France,2020-04-21,Primary Schools (generally for children ages 10 and below),0
France,2020-04-22,Primary Schools (generally for children ages 10 and below),0
France,2020-04-23,Primary Schools (generally for children ages 10 and below),0
France,2020-04-24,Primary Schools (generally for children ages 10 and below),0
France,2020-04-25,Primary Schools (generally for children ages 10 and below),0
France,2020-04-26,Primary Schools (generally for children ages 10 and below),0
France,2020-04-27,Primary Schools (generally for children ages 10 and below),0
France,2020-04-28,Primary Schools (generally for children ages 10 and below),0
France,2020-04-29,Primary Schools (generally for children ages 10 and below),0
France,2020-04-30,Primary Schools (generally for children ages 10 and below),0
France,2020-05-01,Primary Schools (generally for children ages 10 and below),0
France,2020-05-02,Primary Schools (generally for children ages 10 and below),0
France,2020-05-03,Primary Schools (generally for children ages 10 and below),0
France,2020-05-04,Primary Schools (generally for children ages 10 and below),0
France,2020-05-05,Primary Schools (generally for children ages 10 and below),0
France,2020-05-06,Primary Schools (generally for children ages 10 and below),0
France,2020-05-07,Primary Schools (generally for children ages 10 and below),0
France,2020-05-08,Primary Schools (generally for children ages 10 and below),0
France,2020-05-09,Primary Schools (generally for children ages 10 and below),0
France,2020-05-10,Primary Schools (generally for children ages 10 and below),0
France,2020-05-11,Primary Schools (generally for children ages 10 and below),0
France,2020-05-12,Primary Schools (generally for children ages 10 and below),0
France,2020-05-13,Primary Schools (generally for children ages 10 and below),0
France,2020-05-14,Primary Schools (generally for children ages 10 and below),0
France,2020-05-15,Primary Schools (generally for children ages 10 and below),0
France,2020-05-16,Primary Schools (generally for children ages 10 and below),0
France,2020-05-17,Primary Schools (generally for children ages 10 and below),0
France,2020-05-18,Primary Schools (generally for children ages 10 and below),0
France,2020-05-19,Primary Schools (generally for children ages 10 and below),0
France,2020-05-20,Primary Schools (generally for children ages 10 and below),0
France,2020-05-21,Primary Schools (generally for children ages 10 and below),0
France,2020-05-22,Primary Schools (generally for children ages 10 and below),0
France,2020-05-23,Primary Schools (generally for children ages 10 and below),0
France,2020-05-24,Primary Schools (generally for children ages 10 and below),0
France,2020-05-25,Primary Schools (generally for children ages 10 and below),0
France,2020-05-26,Primary Schools (generally for children ages 10 and below),0
France,2020-05-27,Primary Schools (generally for children ages 10 and below),0
France,2020-05-28,Primary Schools (generally for children ages 10 and below),0
France,2020-05-29,Primary Schools (generally for children ages 10 and below),0
France,2020-05-30,Primary Schools (generally for children ages 10 and below),0
France,2020-05-31,Primary Schools (generally for children ages 10 and below),0
France,2020-06-01,Primary Schools (generally for children ages 10 and below),0
France,2020-06-02,Primary Schools (generally for children ages 10 and below),0
France,2020-06-03,Primary Schools (generally for children ages 10 and below),0
France,2020-06-04,Primary Schools (generally for children ages 10 and below),0
France,2020-06-05,Primary Schools (generally for children ages 10 and below),0
France,2020-06-06,Primary Schools (generally for children ages 10 and below),0
France,2020-06-07,Primary Schools (generally for children ages 10 and below),0
France,2020-06-08,Primary Schools (generally for children ages 10 and below),0
France,2020-06-09,Primary Schools (generally for children ages 10 and below),0
France,2020-06-10,Primary Schools (generally for children ages 10 and below),0
France,2020-06-11,Primary Schools (generally for children ages 10 and below),0
France,2020-06-12,Primary Schools (generally for children ages 10 and below),0
France,2020-06-13,Primary Schools (generally for children ages 10 and below),0
France,2020-06-14,Primary Schools (generally for children ages 10 and below),0
France,2020-06-15,Primary Schools (generally for children ages 10 and below),0
France,2020-06-16,Primary Schools (generally for children ages 10 and below),0
France,2020-06-17,Primary Schools (generally for children ages 10 and below),0
France,2020-06-18,Primary Schools (generally for children ages 10 and below),0
France,2020-06-19,Primary Schools (generally for children ages 10 and below),0
France,2020-06-20,Primary Schools (generally for children ages 10 and below),0
France,2020-06-21,Primary Schools (generally for children ages 10 and below),0
France,2020-06-22,Primary Schools (generally for children ages 10 and below),0
France,2020-06-23,Primary Schools (generally for children ages 10 and below),0
France,2020-06-24,Primary Schools (generally for children ages 10 and below),0
France,2020-06-25,Primary Schools (generally for children ages 10 and below),0
France,2020-06-26,Primary Schools (generally for children ages 10 and below),0
France,2020-06-27,Primary Schools (generally for children ages 10 and below),0
France,2020-06-28,Primary Schools (generally for children ages 10 and below),0
France,2020-06-29,Primary Schools (generally for children ages 10 and below),0
France,2020-06-30,Primary Schools (generally for children ages 10 and below),0
France,2020-07-01,Primary Schools (generally for children ages 10 and below),0
France,2020-07-02,Primary Schools (generally for children ages 10 and below),0
France,2020-07-03,Primary Schools (generally for children ages 10 and below),0
France,2020-07-04,Primary Schools (generally for children ages 10 and below),0
France,2020-07-05,Primary Schools (generally for children ages 10 and below),0
France,2020-07-06,Primary Schools (generally for children ages 10 and below),0
France,2020-07-07,Primary Schools (generally for children ages 10 and below),0
France,2020-07-08,Primary Schools (generally for children ages 10 and below),0
France,2020-07-09,Primary Schools (generally for children ages 10 and below),0
France,2020-07-10,Primary Schools (generally for children ages 10 and below),0
France,2020-07-11,Primary Schools (generally for children ages 10 and below),0
France,2020-07-12,Primary Schools (generally for children ages 10 and below),0
France,2020-07-13,Primary Schools (generally for children ages 10 and below),0
France,2020-07-14,Primary Schools (generally for children ages 10 and below),0
France,2020-07-15,Primary Schools (generally for children ages 10 and below),0
France,2020-07-16,Primary Schools (generally for children ages 10 and below),0
France,2020-07-17,Primary Schools (generally for children ages 10 and below),0
France,2020-07-18,Primary Schools (generally for children ages 10 and below),0
France,2020-07-19,Primary Schools (generally for children ages 10 and below),0
France,2020-07-20,Primary Schools (generally for children ages 10 and below),0
France,2020-07-21,Primary Schools (generally for children ages 10 and below),0
France,2020-07-22,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-01,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-02,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-03,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-04,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-05,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-06,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-07,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-08,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-09,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-10,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-11,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-12,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-13,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-14,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-15,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-16,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-17,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-18,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-19,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-20,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-21,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-22,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-23,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-24,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-25,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-26,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-27,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-28,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-29,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-30,Primary Schools (generally for children ages 10 and below),0
Germany,2020-01-31,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-01,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-02,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-03,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-04,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-05,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-06,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-07,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-08,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-09,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-10,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-11,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-12,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-13,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-14,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-15,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-16,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-17,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-18,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-19,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-20,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-21,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-22,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-23,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-24,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-25,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-26,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-27,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-28,Primary Schools (generally for children ages 10 and below),0
Germany,2020-02-29,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-01,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-02,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-03,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-04,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-05,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-06,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-07,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-08,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-09,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-10,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-11,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-12,Primary Schools (generally for children ages 10 and below),0
Germany,2020-03-13,Primary Schools (generally for children ages 10 and below),0.125
Germany,2020-03-14,Primary Schools (generally for children ages 10 and below),0.25
Germany,2020-03-15,Primary Schools (generally for children ages 10 and below),0.25
Germany,2020-03-16,Primary Schools (generally for children ages 10 and below),0.75
Germany,2020-03-17,Primary Schools (generally for children ages 10 and below),0.5
Germany,2020-03-18,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-19,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-20,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-21,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-22,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-23,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-24,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-25,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-26,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-27,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-28,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-29,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-30,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-03-31,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-04-01,Primary Schools (generally for children ages 10 and below),0.375
Germany,2020-04-02,Primary Schools (generally for children ages 10 and below),0.375
